Địa chỉ,Phường/Xã/Thị trấn,Quận/Huyện,Diện tích (m²),Mức giá (tỷ),Giá tiền (triệu/m²),Mặt tiền(m),Đường vào(m),Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,45,13.2,293.33,4.5,6,,,4,4,4,Đã có sổ đỏ,Cơ bản
"Xã Cao Viên, Thanh Oai, Hà Nội",Xã Cao Viên,Thanh Oai,31,2.2,70.97,,,,,3,,,Đã có sổ đỏ,
"Ngõ 345, Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,29,4.38,151.03,4.2,2,Đông - Nam,Đông - Nam,4,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Đông Quan, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,11,26.45,230,,,,,6,5,4,Đã có sổ đỏ,
"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,65,15,230.77,5,,,,7,9,1,Đã có sổ đỏ,Đầy đủ
"Đường Lương Thế Vinh, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",Phường Trung Văn,Nam Từ Liêm,10,26.9,263.73,5.8,,,,8,2,,Đã có sổ đỏ,"Đầy đủ - Tất cả đều trang bị có điều hòa, nóng lạnh, thang máy, giường tủ, cục wifi, camera, khách mua chỉ việc vận hành, không phải đầu tư gì thêm."
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 2,Bắc Từ Liêm,17,29.9,175.88,,,,,8,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Khương Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",Phường Hạ Đình,Thanh Xuân,92,24,260.87,,,,,7,2,2,Đã có sổ đỏ,Đầy đủ
"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,57,11.5,201.75,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,55,10.5,190.91,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,58,11.7,201.72,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,58,11.7,201.72,,,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,45,10,222.22,,,,,,,,Chưa sổ,
"Đường Lê Duẩn, Phường Trung Phụng, Đống Đa, Hà Nội",Phường Trung Phụng,Đống Đa,30,5.25,175,,,,,5,3,4,Đã có sổ đỏ,
"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,47,,,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Ngõ 47, Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,52,15.5,298.08,4,10,Tây - Nam,Tây - Nam,4,5,4,Đã có sổ đỏ,Cơ bản
"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,41,6.5,158.54,,,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,53,,,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,50,9.1,182,,,,,,,,Chưa sổ,
"73 Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",Phường Thượng Đình,Thanh Xuân,90,25,277.78,10,,Tây - Nam,Tây - Nam,5,6,4,Đã có sổ đỏ,Cơ bản
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,39,7.7,197.44,3.5,2.3,,,4,4,3,Đã có sổ đỏ,
"Thạch Bàn, ngõ 249, Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",Phường Thạch Bàn,Long Biên,60,7.5,,5.2,5,,,3,4,3,Đã có sổ đỏ,
"Ngõ 164, Đường Vương Thừa Vũ, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",Phường Thanh Xuân Bắc,Thanh Xuân,65,14,215.38,4.5,5,,,4,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Huỳnh Thúc Kháng, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,90,22,244.44,5,,,,5,8,1,Đã có sổ đỏ,Đầy đủ
"Ngõ 165, Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,35,13.8,394.29,3.5,5,Tây - Nam,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Ngô Xuân Quảng, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,Gia Lâm,40,7.3,182.5,3.4,4,,,6,4,4,Đã có sổ đỏ,
"Ngõ 328, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,Thanh Xuân,48,8.5,177.08,3.8,6,,,3,3,2,Đã có sổ đỏ,Cơ bản
"Ngõ 191, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,65,8.8,135.38,5.35,3,Đông - Nam,Đông - Nam,5,5,6,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,60,17.3,287.38,,8,,,6,8,,Đã có sổ đỏ,
"Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội",Phường Giáp Bát,Hoàng Mai,35,6.8,194.29,6,2,,,4,3,3,Đã có sổ đỏ,
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",Phường Gia Thụy,Long Biên,40,13.5,337.5,4,6,,,6,4,,Đã có sổ đỏ,
"Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội",Phường Trung Văn,Nam Từ Liêm,37,5.5,148.65,3,3,,,4,6,3,Đã có sổ đỏ,
"Phố Láng Hạ, Phường Thành Công, Ba Đình, Hà Nội",Phường Thành Công,Ba Đình,18,52,288.89,,,,,5,5,5,Đã có sổ đỏ,Nội thất siêu sang trọng.
"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,59,25,423.73,6,,,,7,,,Đã có sổ đỏ,
"Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",Phường Trần Hưng Đạo,Hoàn Kiếm,90,28,311.11,4.6,,,,4,8,5,Đã có sổ đỏ,Cơ bản
"99, Đường Định Công Hạ, Phường Định Công, Hoàng Mai, Hà Nội",Phường Định Công,Hoàng Mai,41,,,,,,,4,5,3,Đã có sổ đỏ,Đầy đủ.
"Đường Trần Khát Chân, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",Phường Thanh Nhàn,Hai Bà Trưng,26,5.95,228.85,5.1,2,Đông - Bắc,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Dương Đức Hiền, Xã Phú Thị, Gia Lâm, Hà Nội",Xã Phú Thị,Gia Lâm,17,8.3,46.97,10,4,,,3,,,Đã có sổ đỏ,
"Ngõ 109, Đường Trường Chinh, Phường Phương Liệt, Thanh Xuân, Hà Nội",Phường Phương Liệt,Thanh Xuân,46,14.37,312.35,,,,,5,4,,Đã có sổ đỏ,Đầy đủ.
"Đường Nguyễn Trãi, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",Phường Thanh Xuân Nam,Thanh Xuân,40,7.45,186.25,3.8,2.8,,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Đường Hạ Yên, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,52,8.35,160.58,6,3,,,6,4,4,Đã có sổ đỏ,Đầy đủ
"Phường Đồng Mai, Hà Đông, Hà Nội",Phường Đồng Mai,Hà Đông,34,2.78,81.76,,,Tây - Bắc,,4,3,4,Đã có sổ đỏ,Cơ bản
"Đường Trần Nguyên Đán, Phường Định Công, Hoàng Mai, Hà Nội",Phường Định Công,Hoàng Mai,43,2.68,62.33,,,,,2,3,2,Đã có sổ đỏ,Cơ bản.
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",Phường Ngọc Hà,Ba Đình,56,13,232.14,,30,,,5,4,,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Cảnh Dị, Phường Định Công, Hoàng Mai, Hà Nội",Phường Định Công,Hoàng Mai,89,23,258.43,8,12,,,4,6,5,Đã có sổ đỏ,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,70,,,,,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,56,,,,,,,,,,Đã có sổ đỏ,
"Đường Ngô Quyền, Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,40,7.99,199.75,,,,,4,4,,Đã có sổ đỏ,Full nội thất.
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,35,6.5,185.71,3.5,,,,5,5,4,Chưa sổ,
"Phố Ngọc Khánh, Phường Ngọc Khánh, Ba Đình, Hà Nội",Phường Ngọc Khánh,Ba Đình,85,24,282.35,5,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,40,,,5,,,,,,,Đã có sổ đỏ,
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",Xã Vân Canh,Hoài Đức,31,4.15,133.87,3.5,,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",Phường Đồng Tâm,Hai Bà Trưng,89,8.2,92.14,,,,,4,,,Đã có sổ đỏ,
"KĐT Hạ Đình, ngõ 168, Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",Phường Hạ Đình,Thanh Xuân,18,82,,25,30,,,8,5,8,Chưa sổ,
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,75,18,240,5,4,Nam,Nam,7,7,6,Đã có sổ đỏ,
"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",Phường Nhật Tân,Tây Hồ,16,19.5,116.07,,,,,,,,Đã có sổ đỏ,
"Đường Lạc Long Quân, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,30,6.5,216.67,3.5,,,,4,2,2,Đã có sổ đỏ,Đầy đủ
"Đường Trịnh Văn Bô, Phường Xuân Phương, Nam Từ Liêm, Hà Nội",Phường Xuân Phương,Nam Từ Liêm,42,4.85,115.48,,2,,,3,3,3,Đã có sổ đỏ,
"Đường Láng, Phường Ngã Tư Sở, Đống Đa, Hà Nội",Phường Ngã Tư Sở,Đống Đa,50,7.78,155.6,,3,,,5,5,4,Đã có sổ đỏ,Đầy đủ
"Phường Thanh Trì, Hoàng Mai, Hà Nội",Phường Thanh Trì,Hoàng Mai,55,5.7,103.64,5,10,,,,,,Đã có sổ đỏ,
"Đường Trần Nhân Tông, Phường Nguyễn Du, Hai Bà Trưng, Hà Nội",Phường Nguyễn Du,Hai Bà Trưng,48,11.8,245.83,4.5,8,,,5,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",Phường Ngọc Hà,Ba Đình,60,13.2,220,4,5,,,5,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Tu Hoàng, Phường Phương Canh, Nam Từ Liêm, Hà Nội",Phường Phương Canh,Nam Từ Liêm,40,5.05,126.25,3.6,3,Tây - Nam,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",Phường Hàng Bột,Đống Đa,40,5.68,142,4,,,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội",Phường Phương Liệt,Thanh Xuân,73,25.9,354.8,7.9,9,,,8,4,6,Đã có sổ đỏ,Đầy đủ
"Đường Dương Đức Hiền, Xã Kim Sơn, Gia Lâm, Hà Nội",Xã Kim Sơn,Gia Lâm,50,3.8,76,7.7,8,,,1,,,Đã có sổ đỏ,
"Ngõ 181, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,36,5.72,158.89,3.6,2,Đông - Nam,Đông - Nam,5,3,4,Chưa sổ,
"Đường Xuân Phương, Phường Phương Canh, Nam Từ Liêm, Hà Nội",Phường Phương Canh,Nam Từ Liêm,11,17.99,156.44,8.5,4,,,7,3,3,Đã có sổ đỏ,
"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Phường Mỹ Đình 1,Nam Từ Liêm,12,31,240.31,,,,,4,8,8,Đã có sổ đỏ,Đầy đủ
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",Phường Bạch Mai,Hai Bà Trưng,40,6.99,174.75,4,4,Bắc,Bắc,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,39,11.9,305.13,5.5,,,,6,5,5,Đã có sổ đỏ,Cơ bản
"Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,64,20.3,317.19,4.2,3,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Xã Bích Hòa, Thanh Oai, Hà Nội",Xã Bích Hòa,Thanh Oai,30,3.45,115,,,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",Phường Đức Giang,Long Biên,30,6.6,220,4.7,10,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Tam Trinh, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,Hoàng Mai,54,,,,,,,4,2,2,Đã có sổ đỏ,
"Đường Ba La, Phường Phú Lãm, Hà Đông, Hà Nội",Phường Phú Lãm,Hà Đông,50,11,220,4.3,12,Tây,,5,4,4,Đã có sổ đỏ,Không nội thất
"Đường Hoàng Hoa Thám, Phường Liễu Giai, Ba Đình, Hà Nội",Phường Liễu Giai,Ba Đình,47,10.5,221.52,6,,Đông,,4,4,,Đã có sổ đỏ,
"Đường Nguyễn Trãi, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,41,6.8,165.85,5,4,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Mễ Trì Thượng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Phường Mễ Trì,Nam Từ Liêm,50,10,200,5.3,,,,5,,,Chưa sổ,
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",Phường Phúc Lợi,Long Biên,45,11.2,248.89,4,7,,,6,4,5,Đã có sổ đỏ,
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,58,19.2,331.03,5.2,8,,,5,5,5,Đã có sổ đỏ,Cơ bản
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",Phường Ngọc Hà,Ba Đình,67,14.3,213.43,5,6,,,,4,,Đã có sổ đỏ,Cơ bản
"97, Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội",Phường Liễu Giai,Ba Đình,48,11.8,245.83,,,,,,,,Đã có sổ đỏ,Cơ bản
"Đường Trần Duy Hưng, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,76,15.9,209.21,4.8,3,,,4,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,66,16,242.42,4,10,,,6,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,45,8.2,182.22,4,3,,,6,5,5,Đã có sổ đỏ,Đầy đủ
"Phố Kẻ Vẽ, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Phường Đông Ngạc,Bắc Từ Liêm,48,6.9,143.75,5.2,6,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Vân Canh, Xã Vân Canh, Hoài Đức, Hà Nội",Xã Vân Canh,Hoài Đức,46,5.95,129.35,4,2.5,,,4,4,3,Chưa sổ,
"Ngõ 189, Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,90,19,211.11,,,,,5,5,5,Đã có sổ đỏ,Cơ bản
"Đường Tam Khương, Phường Khương Thượng, Đống Đa, Hà Nội",Phường Khương Thượng,Đống Đa,70,25,357.14,,15,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,90,18.35,203.89,5,13.5,,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,Gia Lâm,61,4.8,78.69,,5,,,,,,Đã có sổ đỏ,Cơ bản.
"Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội",Phường Liễu Giai,Ba Đình,52,12.6,240,,,Tây,,4,,,Đã có sổ đỏ,
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,31,7.5,241.94,4,3,,,6,,,Đã có sổ đỏ,
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,36,8.9,247.22,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,75,17.3,230.67,6.5,,,,6,6,5,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Thị Định, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,54,9,166.67,6,,,,2,2,2,Đã có sổ đỏ,Cơ bản
"Phường Quang Trung, Hà Đông, Hà Nội",Phường Quang Trung,Hà Đông,42,2.8,66.67,,,,,3,,,Đã có sổ đỏ,
"Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Phường Đông Ngạc,Quận Bắc Từ Liêm,30,5.35,178.33,,,,,4,5,3,Đã có sổ đỏ,
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",Phường Phú Thượng,Tây Hồ,50,11,220,3.7,,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",Phường Phú Thượng,Tây Hồ,60,7.2,120,5.2,2,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,37,8.65,233.78,9,,,,6,8,5,Đã có sổ đỏ,
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 2,Bắc Từ Liêm,40,6.3,157.5,,,,,4,5,3,Đã có sổ đỏ,
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",Phường Cống Vị,Ba Đình,40,10.2,255,6,3,,,7,4,6,Đã có sổ đỏ,
"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,63,18.7,296.82,4.3,,,,7,,1,Đã có sổ đỏ,Đầy đủ
"Đường Cầu Bươu, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",Xã Tả Thanh Oai,Thanh Trì,48,7.5,156.25,4.2,4,,,5,5,4,Đã có sổ đỏ,Cơ bản
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",Phường Đại Mỗ,Nam Từ Liêm,50,7.5,150,4.5,,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Lưu Hữu Phước, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",Phường Cầu Diễn,Nam Từ Liêm,66,16.9,256.06,4.1,5,,,4,4,4,Đã có sổ đỏ,
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,50,12.6,252,5,45,,,6,4,5,Đã có sổ đỏ,Đầy đủ
"Đường Đội Nhân, Phường Vĩnh Phúc, Ba Đình, Hà Nội",Phường Vĩnh Phúc,Ba Đình,60,8.9,146.14,,,Nam,,4,,,Đã có sổ đỏ,
"Đường Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",Phường Thanh Lương,Hai Bà Trưng,36,5.95,165.28,,,,,,3,,Đã có sổ đỏ,Đầy đủ
